exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,encouragement_using_masks,encouragement_using_gloves,encouragement_using_hand_sanitizers,wide_temperature_tests,lockdown_level,country,province,start_date
False,True,True,False,False,False,2,0,0,,15,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Alberta,2020-03-30 00:00:00
False,True,True,False,False,False,0,2,0,,50,True,0,False,False,False,False,True,False,False,False,False,2,Canada,British Columbia,2020-03-30 00:00:00
False,True,True,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Calgary, Alberta",2020-03-30 00:00:00
False,True,True,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Edmonton, Alberta",2020-03-30 00:00:00
False,True,True,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"London, ON",2020-03-30 00:00:00
False,True,True,False,False,False,2,2,0,,10,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Manitoba,2020-03-30 00:00:00
False,True,True,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Montreal, QC",2020-03-30 00:00:00
False,True,True,False,False,False,2,0,0,,10,True,0,False,False,False,False,True,False,False,False,False,3,Canada,New Brunswick,2020-03-30 00:00:00
False,True,True,False,False,False,2,0,0,,10,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Newfoundland and Labrador,2020-03-30 00:00:00
False,True,True,False,False,False,2,0,0,,0,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Northwest Territories,2020-03-30 00:00:00
False,True,True,False,False,False,1,2,0,2,5,True,0,False,True,False,False,True,False,False,False,False,3,Canada,Nova Scotia,2020-03-30 00:00:00
False,True,True,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,Nunavut,2020-03-30 00:00:00
False,True,True,False,False,False,2,2,0,,5,True,0,True,True,False,False,True,False,False,False,False,3,Canada,Ontario,2020-03-30 00:00:00
False,True,True,False,False,False,1,2,0,2,,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Prince Edward Island,2020-03-30 00:00:00
False,True,True,False,False,False,1,0,0,2,10,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Saskatchewan,2020-03-30 00:00:00
False,True,True,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Toronto, ON",2020-03-30 00:00:00
False,True,True,True,False,False,0,2,0,,10,True,0,False,False,False,False,True,False,False,False,False,2,Canada,Yukon,2020-03-30 00:00:00
False,True,True,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,all,2020-03-30 00:00:00
False,True,False,False,False,False,2,2,0,,5,True,0,True,True,False,False,True,False,False,False,False,3,Canada,Ontario,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,AG,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,AI,2020-03-28 00:00:00
