country,state/province,change_date,changed_field,changed_from,changed_to
Taiwan,all,19/03/2020,prohibition_entering_country,FALSE,TRUE
Taiwan,all,15/02/2020,enter_area_isolation,FALSE,TRUE
Taiwan,all,25/03/2020,congregation_restriction,None,500
Taiwan,all,19/02/2020,disinfecting_public_spaces,FALSE,TRUE
Taiwan,all,21/01/2020,exposure_to_patient_isolation,FALSE,TRUE
Taiwan,all,01/02/2020,encouragement_using_masks,FALSE,TRUE
Taiwan,all,24/02/2020,encouragement_using_gloves,FALSE,TRUE
Taiwan,all,01/02/2020,encouragement_using_hand_sanitizers,FALSE,TRUE
Taiwan,all,01/04/2020,wide_temperature_tests,FALSE,TRUE
