City,Population as of 2018,Verified patients
Jerusalem,"914,559","1,821"
Tel Aviv - Yafo,"450,192",444
Haifa,"272,584",127
Petah Tikva,"242,478",199
Rishon Lezion,"241,010",192
Ashdod,"225,073",170
Netanya,"213,971",156
Be'er Sheva,"196,755",135
Bnei Brak,"195,298","1,761"
Holon,"185,741",159
Ramat Gan,"143,370",135
Ashkelon,"139,032",225
Rehovot,"137,178",87
Bat Yam,"130,523",142
Beit Shemesh,"120,812",188
Kfar Saba,"97,412",65
Hadera,"94,104",30
Herzliya,"90,900",92
Maccabim,"87,108",116
Nazareth,"78,252",10
Ramla,"75,246",52
Lod,"75,038",54
Ra'anana,"73,979",87
Modi'in Illit,"73,808",190
Rahat,"64,649",10
Beitar Illit,"59,240",137
Hod HaSharon,"59,171",35
Nahariya,"58,750",28
Kiryat Ata,"57,108",19
Eilat,"56,568",16
Kiryat Gat,"55,400",32
Umm el-Fahm,"55,324",28
Givatayim,"55,123",30
Rosh Ha'ayin,"53,965",31
Afula,"50,886",56
Acre,"50,872",17
El'ad,"46,760",233
Carmiel,"46,596",29
Ness Ziona,"45,714",17
Yavne,"45,555",31
Ramat HaSharon,"44,896",35
Tiberias,"44,353",129
Nof Ha'Galil,"43,811",26
Tayibe,"43,144",10
Kiryat Motzkin,"42,870",10
Shefa-'Amr,"40,666",4
Pardes Hanna-Karkur,"40,622",8
Kiryat Yam,"39,556",21
Kiryat Bialik,"39,262",11
Ma'ale Adumim,"37,469",35
Kiryat Ono,"37,112",46
Netivot,"36,511",31
Zefat,"35,671",52
Dimona,"35,377",25
Or Yehuda,"34,843",110
Tamra,"33,792",16
Sakhnin,"32,089",6
Ofakim,"30,185",31
Yehud,"29,104",64
Baqa al-Gharbiya,"29,035",14
Arad,"26,763",14
Tiraa,"26,184",4
Migdal HaEmek,"26,058",95
Sderot,"25,891",27
Arraba,"25,876",1
Gedera,"24,633",21
Giv'at Shmuel,"24,538",33
Be'er Ya'akov,"24,216",18
Kiryat Malakhi,"23,691",44
Kafr Qasim,"23,517",4
Mevaseret Zion,"23,093",13
Clanswa,"22,740",1
Yokneam,"22,711",14
Kafr Kanna,"22,449",2
Gan Yavne,"22,410",24
Maghar,"22,364",7
Zikhron Ya'akov,"22,341",34
Ma'alot-Tarshiha,"22,261",10
Tirat Carmel,"22,243",14
Kiryat Shmona,"22,152",12
Nesher,"22,032",5
Kfar Yona,"21,301",14
Kadima Zoran,"20,831",14
Jadeida-acquaintance,"20,524",2
Shoham,"20,041",35
Tel as-Sabi,"19,850",1
Ar'ara,"19,667",2
Yafa an-Naseriyye,"19,056",3
Ganei Tikva,"18,930",27
Or Akiva,"18,893",5
Kafr Qara,"18,820",6
Giv'at Ze'ev,"18,510",22
Ariel,"18,251",6
Ar'arat an-Naqab,"17,465",1
Kuseife,"16,957",7
Masudin al-Azazma,"16,644",1
Kiryat Tiv'on,"15,831",3
Mazkeret Batya,"14,949",10
Ma'ale Iron,"14,861",5
Jasser a-Zarqa,"14,732",29
Iksal,"14,655",6
Binyamina-Givat Ada,"14,383",2
Ein Mahil,"13,388",3
Even Yehuda,"13,263",24
Nahaf,"13,167",3
Fureidis,"13,133",1
Tel Mond,"12,593",14
Dyer al-Assad,"12,435",3
Isfiya,"12,141",3
Jatt,"11,910",16
Rechasim,"11,841",28
Azur,"11,819",28
Majdal Shams,"11,089",1
Efrat,"10,676",64
Kiryat Ekron,"10,600",7
Kafr Yasif,"10,577",2
Deir Hanna,"10,567",10
Basmaa,"10,532",2
Daburiyya,"10,414",22
Yeruham,"10,126",3
Jaljulia,"10,011",4
Buayne-Nujidat,"9,974",2
Bir al-Maksur,"9,866",5
Hatzor HaGlilit,"9,722",2
Kokhav Ya'ir,"9,143",9
Meiter,"9,043",3
Oranit,"8,822",3
Harish,"8,737",4
Kokhav Ya'akov,"8,602",44
Abu Rubeya (tribe),"8,446",1
Bi'ina,"8,355",1
Omer,"8,016",10
Karnei Shomron,"7,906",6
Tzur Hadassah,"7,856",5
Basmat Tab'un,"7,833",2
Abu Ghosh,"7,792",1
Alfei Menashe,"7,771",5
Atlit,"7,442",2
Katzrin,"7,373",13
Kiryat Arba,"7,364",11
Ramat Yishai,"7,236",2
Zemer,"6,926",2
Bnei Aish,"6,837",5
Kfar Habad,"6,724",44
Tuba-Zangaria,"6,648",1
Buq'ata,"6,586",2
Beit Dagan,"6,533",4
Shlomi,"6,478",7
ShibliUmm al-Ghanam,"6,367",10
Hurfeish,"6,288",2
Lehavim,"6,178",6
Jules,"6,147",2
Pardesiya,"6,027",1
Tzur Itzhak,"5,954",4
Pekiin,"5,851",2
Beit El,"5,767",5
Kiryat Ye'arim,"5,713",38
Eilabun,"5,677",4
Kfar Vradim,"5,599",3
Sha'arei Tikva,"5,584",2
Geva Binyamin,"5,299",6
Caesarea Maritima,"5,272",1
Bat Hefer,"5,124",1
