Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,228,61,44,,,"1,846,023","2,110"
Sealand,76,17,13,,,"837,359",538
Southern Denmark,81,25,25,,,"1,223,105",531
Central Jutland,87,29,24,,,"1,326,340",656
Northern Jutland,35,10,6,,,"589,936",230
,507,142,112,161,"39,928","5,822,763","4,077"
