Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,150,37,30,,,"1,846,023","4,666"
Sealand,58,8,4,,,"837,359","1,282"
Southern Denmark,22,5,4,,,"1,223,105",855
Central Jutland,42,13,12,,,"1,326,340","1,357"
Northern Jutland,13,7,6,,,"589,936",369
,285,70,56,422,"146,915","5,822,763","8,575"
