Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,188,43,37,,,"1,846,023","3,597"
Sealand,58,12,9,,,"837,359",901
Southern Denmark,38,11,9,,,"1,223,105",756
Central Jutland,56,15,14,,,"1,326,340","1,061"
Northern Jutland,22,8,6,,,"589,936",325
,362,89,75,309,"77,712","5,822,763","6,681"
