Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,167,38,30,,,"1,846,023","4,734"
Sealand,63,8,4,,,"837,359","1,316"
Southern Denmark,23,4,3,,,"1,223,105",859
Central Jutland,44,15,12,,,"1,326,340","1,372"
Northern Jutland,13,7,6,,,"589,936",371
,310,72,55,427,"155,810","5,822,763","8,698"
