Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,155,36,30,,,"1,846,023","4,605"
Sealand,57,8,4,,,"837,359","1,262"
Southern Denmark,24,6,5,,,"1,223,105",846
Central Jutland,42,13,12,,,"1,326,340","1,319"
Northern Jutland,12,7,5,,,"589,936",367
,290,70,56,418,"136,738","5,822,763","8,445"
