Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,183,46,36,,,"1,846,023","3,698"
Sealand,60,12,8,,,"837,359",948
Southern Denmark,35,11,9,,,"1,223,105",769
Central Jutland,54,16,14,,,"1,326,340","1,091"
Northern Jutland,21,7,5,,,"589,936",332
,353,92,72,321,"82,380","5,822,763","6,879"
