Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,234,60,42,,,"1,846,023","2,484"
Sealand,77,17,13,,,"837,359",590
Southern Denmark,71,23,23,,,"1,223,105",579
Central Jutland,85,28,23,,,"1,326,340",706
Northern Jutland,36,11,7,,,"589,936",256
,503,139,108,187,"46,916","5,822,763","4,647"
