Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,178,42,35,,,"1,846,023","4,053"
Sealand,64,9,6,,,"837,359","1,078"
Southern Denmark,31,9,8,,,"1,223,105",810
Central Jutland,47,17,16,,,"1,326,340","1,186"
Northern Jutland,16,7,7,,,"589,936",345
,336,84,72,364,"96,244","5,822,763","7,515"
