Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,220,58,46,,,"1,846,023","2,636"
Sealand,78,17,14,,,"837,359",653
Southern Denmark,71,22,22,,,"1,223,105",615
Central Jutland,70,19,15,,,"1,326,340",763
Northern Jutland,33,11,6,,,"589,936",277
,472,127,103,203,"51,544","5,822,763","4,978"
