Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,196,52,39,,,"1,846,023","3,297"
Sealand,55,13,10,,,"837,359",842
Southern Denmark,54,15,14,,,"1,223,105",718
Central Jutland,64,15,14,,,"1,326,340",967
Northern Jutland,27,9,8,,,"589,936",309
,396,104,85,273,"70,125","5,822,763","6,174"
