Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,201,55,45,,,"1,846,023","2,982"
Sealand,68,14,10,,,"837,359",756
Southern Denmark,72,21,20,,,"1,223,105",676
Central Jutland,68,20,18,,,"1,326,340",892
Northern Jutland,24,10,7,,,"589,936",292
,433,120,100,237,"62,210","5,822,763","5,635"
