Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,192,50,43,,,"1,846,023","3,389"
Sealand,57,13,10,,,"837,359",856
Southern Denmark,49,14,12,,,"1,223,105",730
Central Jutland,63,14,14,,,"1,326,340",987
Northern Jutland,27,9,8,,,"589,936",315
,388,100,87,285,"72,098","5,822,763","6,318"
