Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,215,57,45,,,"1,846,023","2,867"
Sealand,74,17,13,,,"837,359",714
Southern Denmark,66,22,21,,,"1,223,105",647
Central Jutland,69,21,17,,,"1,326,340",840
Northern Jutland,29,10,7,,,"589,936",284
,453,127,103,218,"57,535","5,822,763","5,386"
