Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,240,62,49,,,"1,846,023","1,901"
Sealand,85,18,13,,,"837,359",501
Southern Denmark,84,25,24,,,"1,223,105",472
Central Jutland,79,29,25,,,"1,326,340",584
Northern Jutland,29,9,5,,,"589,936",203
,517,143,116,139,"34,388","5,822,763","3,672"
