Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,157,35,26,,,"1,846,023","4,832"
Sealand,59,7,4,,,"837,359","1,345"
Southern Denmark,19,3,2,,,"1,223,105",865
Central Jutland,37,14,12,,,"1,326,340","1,384"
Northern Jutland,12,7,6,,,"589,936",379
,284,66,50,434,"166,845","5,822,763","8,851"
