Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,167,42,35,,,"1,846,023","3,969"
Sealand,55,10,8,,,"837,359","1,055"
Southern Denmark,34,9,8,,,"1,223,105",805
Central Jutland,45,16,15,,,"1,326,340","1,172"
Northern Jutland,18,7,7,,,"589,936",342
,319,84,73,355,"94,277","5,822,763","7,384"
