Region,Hospitalized,Critical,Ventilated,Dead,Number of people tested,Population,Confirmed COVID-19 cases
The capital,199,56,45,,,"1,846,023","3,083"
Sealand,56,14,10,,,"837,359",794
Southern Denmark,58,17,16,,,"1,223,105",691
Central Jutland,65,17,17,,,"1,326,340",914
Northern Jutland,23,9,7,,,"589,936",298
,401,113,95,247,"64,731","5,822,763","5,819"
