city,county,state,country,population
,Sevier County,UT,USA,21539
,Washington County,UT,USA,171700
,Wayne County,UT,USA,2690
,Accomack County,VA,USA,32412
,Albemarle County,VA,USA,108718
,Alexandria city,VA,USA,160530
,Alleghany County,VA,USA,14910
,Amelia County,VA,USA,13013
,Amherst County,VA,USA,31666
,Appomattox County,VA,USA,15841
,Arlington County,VA,USA,237521
,Augusta County,VA,USA,75457
,Bath County,VA,USA,4292
,Bedford County,VA,USA,78747
,Bland County,VA,USA,6293
,Botetourt County,VA,USA,33277
,Bristol city,VA,USA,16482
,Brunswick County,VA,USA,16384
,Buchanan County,VA,USA,21221
,Buckingham County,VA,USA,16999
,Buena Vista city,VA,USA,6237
,Campbell County,VA,USA,54973
,Caroline County,VA,USA,30772
,Carroll County,VA,USA,29636
,Charles City County,VA,USA,6941
,Charlotte County,VA,USA,11938
,Charlottesville city,VA,USA,48117
,Chesapeake city,VA,USA,242634
,Chesterfield County,VA,USA,348556
,Clarke County,VA,USA,14523
,Colonial Heights city,VA,USA,17833
,Covington city,VA,USA,5460
,Craig County,VA,USA,5064
,Culpeper County,VA,USA,51859
,Cumberland County,VA,USA,9809
,Danville city,VA,USA,40693
,Dickenson County,VA,USA,14523
,Dinwiddie County,VA,USA,28529
,Emporia city,VA,USA,5121
,Essex County,VA,USA,10919
,Fairfax city,VA,USA,24574
,Fairfax County,VA,USA,1150795
,Falls Church city,VA,USA,14772
,Fauquier County,VA,USA,70675
,Floyd County,VA,USA,15795
,Fluvanna County,VA,USA,26783
,Franklin city,VA,USA,8013
,Franklin County,VA,USA,56195
,Frederick County,VA,USA,88355
,Fredericksburg city,VA,USA,29144
,Galax city,VA,USA,6423
,Giles County,VA,USA,16844
,Gloucester County,VA,USA,37349
,Goochland County,VA,USA,23244
,Grayson County,VA,USA,15631
,Greene County,VA,USA,19779
,Greensville County,VA,USA,11627
,Halifax County,VA,USA,34120
,Hampton city,VA,USA,134313
,Hanover County,VA,USA,107239
,Harrisonburg city,VA,USA,54033
,Henrico County,VA,USA,329261
,Henry County,VA,USA,50953
,Highland County,VA,USA,2210
,Hopewell city,VA,USA,22596
,Isle of Wight County,VA,USA,36953
,James City County,VA,USA,76397
,King and Queen County,VA,USA,7042
,King George County,VA,USA,26575
,King William County,VA,USA,16939
,Lancaster County,VA,USA,10783
,Lee County,VA,USA,23541
,Lexington city,VA,USA,7136
,Loudoun County,VA,USA,406850
,Louisa County,VA,USA,36778
,Lunenburg County,VA,USA,12086
,Madison County,VA,USA,13295
,Manassas city,VA,USA,41641
,Manassas Park city,VA,USA,17307
,Martinsville city,VA,USA,12902
,Mathews County,VA,USA,8802
,Mecklenburg County,VA,USA,30650
,Middlesex County,VA,USA,10769
,Montgomery County,VA,USA,98985
,Nelson County,VA,USA,14836
,New Kent County,VA,USA,22391
,Newport News city,VA,USA,178626
,Norfolk County,VA,USA,244076
,Northampton County,VA,USA,11735
,Northumberland County,VA,USA,12147
,Norton city,VA,USA,3968
,Nottoway County,VA,USA,15420
,Orange County,VA,USA,36644
,Page County,VA,USA,23933
,Patrick County,VA,USA,17673
,Petersburg city,VA,USA,31567
,Pittsylvania County,VA,USA,60949
,Poquoson city,VA,USA,12190
,Portsmouth city,VA,USA,94632
,Powhatan County,VA,USA,29189
,Prince Edward County,VA,USA,22950
,Prince George County,VA,USA,38082
,Prince William County,VA,USA,468011
,Pulaski County,VA,USA,34066
,Radford city,VA,USA,18339
,Rappahannock County,VA,USA,7252
,Richmond city,VA,USA,228783
,Richmond County,VA,USA,9038
,Roanoke city,VA,USA,99920
,Roanoke County,VA,USA,94073
,Rockbridge County,VA,USA,22752
,Rockingham County,VA,USA,81244
,Russell County,VA,USA,26748
,Salem city,VA,USA,25643
,Scott County,VA,USA,21534
,Shenandoah County,VA,USA,43497
,Smyth County,VA,USA,30472
,Southampton County,VA,USA,17586
,Spotsylvania County,VA,USA,134238
,Stafford County,VA,USA,149960
,Staunton city,VA,USA,24922
,Suffolk city,VA,USA,91185
,Surry County,VA,USA,6474
,Sussex County,VA,USA,11237
,Tazewell County,VA,USA,40855
,Virginia Beach city,VA,USA,450189
,Warren County,VA,USA,40003
,Washington County,VA,USA,54402
,Waynesboro city,VA,USA,22628
,Westmoreland County,VA,USA,17830
,Williamsburg city,VA,USA,14896
,Winchester city,VA,USA,28108
,Wise County,VA,USA,38012
,Wythe County,VA,USA,28754
,York County,VA,USA,67846
,Adams County,WA,USA,19759
,Benton County,WA,USA,201877
,Chelan County,WA,USA,77036
,Clallam County,WA,USA,76737
,Clark County,WA,USA,481857
,Columbia County,WA,USA,4059
,Cowlitz County,WA,USA,108987
,Douglas County,WA,USA,42907
,Franklin County,WA,USA,94347
,Grant County,WA,USA,97331
,Grays Harbor County,WA,USA,73901
,Island County,WA,USA,84460
,Jefferson County,WA,USA,31729
,King County,WA,USA,2233163
,Kitsap County,WA,USA,269805
,Kittitas County,WA,USA,47364
,Klickitat County,WA,USA,22107
,Lewis County,WA,USA,79604
,Lincoln County,WA,USA,10740
,Mason County,WA,USA,65507
,Pierce County,WA,USA,891299
,San Juan County,WA,USA,17128
,Skagit County,WA,USA,128206
,Snohomish County,WA,USA,814901
,Spokane County,WA,USA,514631
,Stevens County,WA,USA,45260
,Thurston County,WA,USA,286419
,Walla Walla County,WA,USA,60922
,Whatcom County,WA,USA,225685
,Whitman County,WA,USA,49791
,Yakima County,WA,USA,251446
,(unassigned),WA,USA,
,Skamania County,WA,USA,11924
,Wahkiakum County,WA,USA,4426
,Garfield County,WA,USA,2247
,Asotin County,WA,USA,22610
,Ferry County,WA,USA,7649
,Okanogan County,WA,USA,42132
,Pacific County,WA,USA,22036
,Pend Oreille County,WA,USA,13602
,Bayfield County,WI,USA,15042
,Brown County,WI,USA,263378
,Calumet County,WI,USA,50159
,Chippewa County,WI,USA,64135
,Columbia County,WI,USA,57358
,Dane County,WI,USA,542364
,Dodge County,WI,USA,87847
,Douglas County,WI,USA,43208
,Dunn County,WI,USA,45131
,Eau Claire County,WI,USA,104534
,Fond du Lac County,WI,USA,103066
,Green County,WI,USA,36929
,Jefferson County,WI,USA,85129
,Kenosha County,WI,USA,169290
,La Crosse County,WI,USA,118230
,Marathon County,WI,USA,135428
,Milwaukee County,WI,USA,948201
,Outagamie County,WI,USA,187365
,Ozaukee County,WI,USA,89147
,Pierce County,WI,USA,42555
,Racine County,WI,USA,196584
,Rock County,WI,USA,163129
,Sauk County,WI,USA,64249
,Sheboygan County,WI,USA,115456
,St. Croix County,WI,USA,89694
,Walworth County,WI,USA,103718
,Washington County,WI,USA,135693
,Waukesha County,WI,USA,403072
,Winnebago County,WI,USA,171020
,Wood County,WI,USA,73055
,Adams County,WI,USA,20348
,Ashland County,WI,USA,15600
,Barron County,WI,USA,45164
,Buffalo County,WI,USA,13125
,Burnett County,WI,USA,15392
,Clark County,WI,USA,34709
,Crawford County,WI,USA,16291
,Door County,WI,USA,27610
,Florence County,WI,USA,4321
,Forest County,WI,USA,8991
,Grant County,WI,USA,51554
,Green Lake County,WI,USA,18918
,Iowa County,WI,USA,23771
,Iron County,WI,USA,5676
,Jackson County,WI,USA,20478
,Juneau County,WI,USA,26617
,Kewaunee County,WI,USA,20383
,Lafayette County,WI,USA,16665
,Langlade County,WI,USA,19268
,Lincoln County,WI,USA,27689
,Manitowoc County,WI,USA,79074
,Marinette County,WI,USA,40434
,Marquette County,WI,USA,15434
,Menominee County,WI,USA,4658
,Monroe County,WI,USA,46051
,Oconto County,WI,USA,37830
,Oneida County,WI,USA,35470
,Pepin County,WI,USA,7289
,Polk County,WI,USA,43598
,Portage County,WI,USA,70942
,Price County,WI,USA,13397
,Richland County,WI,USA,17377
,Rusk County,WI,USA,14147
,Sawyer County,WI,USA,16489
,Shawano County,WI,USA,40796
,Taylor County,WI,USA,20412
,Trempealeau County,WI,USA,29442
,Vernon County,WI,USA,30785
,Vilas County,WI,USA,21938
,Washburn County,WI,USA,15878
,Waupaca County,WI,USA,51128
,Waushara County,WI,USA,24263
,Jackson County,WV,USA,28706
,Jefferson County,WV,USA,56811
,Kanawha County,WV,USA,180454
,Marshall County,WV,USA,30785
,Mercer County,WV,USA,59131
,Monongalia County,WV,USA,106420
,Putnam County,WV,USA,56682
,Tucker County,WV,USA,6955
,Barbour County,WV,USA,16535
,Berkeley County,WV,USA,117123
,Boone County,WV,USA,21951
,Braxton County,WV,USA,14089
,Brooke County,WV,USA,22203
,Cabell County,WV,USA,93224
,Calhoun County,WV,USA,7254
,Clay County,WV,USA,8632
,Doddridge County,WV,USA,8406
,Fayette County,WV,USA,43018
,Gilmer County,WV,USA,8026
,Grant County,WV,USA,11626
,Greenbrier County,WV,USA,34786
,Hampshire County,WV,USA,23347
,Hancock County,WV,USA,29094
,Hardy County,WV,USA,13775
,Harrison County,WV,USA,67554
,Lewis County,WV,USA,16024
,Lincoln County,WV,USA,20599
,Logan County,WV,USA,32607
,McDowell County,WV,USA,18223
,Marion County,WV,USA,56097
,Mason County,WV,USA,26718
,Mineral County,WV,USA,26940
,Mingo County,WV,USA,23785
,Monroe County,WV,USA,13280
,Morgan County,WV,USA,17787
,Nicholas County,WV,USA,24842
,Ohio County,WV,USA,41755
,Pendleton County,WV,USA,6997
,Pleasants County,WV,USA,7507
,Pocahontas County,WV,USA,8414
,Preston County,WV,USA,33839
,Raleigh County,WV,USA,74254
,Randolph County,WV,USA,28823
,Ritchie County,WV,USA,9721
,Roane County,WV,USA,13932
,Summers County,WV,USA,12760
,Taylor County,WV,USA,16862
,Tyler County,WV,USA,8746
,Upshur County,WV,USA,24415
,Wayne County,WV,USA,39944
,Webster County,WV,USA,8285
,Wetzel County,WV,USA,15270
,Wirt County,WV,USA,5830
,Wood County,WV,USA,84203
,Wyoming County,WV,USA,20786
,Albany County,WY,USA,38601
,Big Horn County,WY,USA,11881
,Campbell County,WY,USA,46140
,Carbon County,WY,USA,14971
,Converse County,WY,USA,13640
,Crook County,WY,USA,7450
,Fremont County,WY,USA,39531
,Goshen County,WY,USA,13376
,Hot Springs County,WY,USA,4555
,Johnson County,WY,USA,8460
,Laramie County,WY,USA,98976
,Lincoln County,WY,USA,19434
,Natrona County,WY,USA,79115
,Niobrara County,WY,USA,2388
,Park County,WY,USA,29324
,Platte County,WY,USA,8566
,Sheridan County,WY,USA,30233
,Sublette County,WY,USA,9813
,Sweetwater County,WY,USA,43051
,Teton County,WY,USA,23081
,Uinta County,WY,USA,20299
,Washakie County,WY,USA,7885
,Weston County,WY,USA,6967
