date,cdc_report_time,total,confirmed,recovered,isolated,deceased,being_tested,negative
2020-07-13,11:16,1408312,13479,12204,986,289,21845,1372988
2020-07-13,20:32,1408312,13479,12204,986,289,21845,1372988
