date,cdc_report_time,total,confirmed,recovered,isolated,deceased,being_tested,negative
2020-03-03,11:27,125851,4812,34,4750,28,35555,85484
2020-03-03,15:50,125851,4812,34,4750,28,35555,85484
2020-03-03,11:27,125851,4812,34,4750,28,35555,85484
2020-03-03,15:50,125851,4812,34,4750,28,35555,85484
