date,cdc_report_time,total,confirmed,recovered,isolated,deceased,being_tested,negative
2020-07-15,14:07,1431316,13551,12348,914,289,23297,1394468
2020-07-15,19:23,1431316,13551,12348,914,289,23297,1394468
